id,type_road,geometry,roads_count,closest_distance_meters,roads_names
00ec66c6dc7daec3ccdc48ee9606b1db,service,POINT(6.36147 62.46693),213,17.768736826996037,"[Nedre Holen,Bergeplass,Vestre Aspehaug,Ålesundsvegen,Gamle skoleplass,Øvrevollen,Olav Sundes veg,Nybømarka,Høgvollvegen,Kristianplass,Langelandsvegen,Yrkesskolevegen,Øvre Holen,Nylandvegen,Vika terrasse,Nybøbakken,Torebakken,Gamle skoleveg,Ramsvegen,Kanalvegen,Nordre Aspehaug,Nedregårdsvegen,Vestre Høgvollvegen,Østre Aspehaug,Høgvollstubben,Holsmyrvegen]"
00ec66c6dc7daec3ccdc48ee9606b1db,residential,POINT(6.36147 62.46693),38,67.799469831810043,"[Østre Aspehaug,Torebakken,Øvre Holen,Vasstrandvegen,Nybømarka,Nedregårdsvegen,Ramshaugen,Åkåvegen,Nylandvegen,Stykkjevegen,Holssletta,Gamle skoleveg,Nybøbakken,Øvrevollen,Nedre Holen,Høgvollvegen,Holsmyrvegen]"
00ec66c6dc7daec3ccdc48ee9606b1db,secondary,POINT(6.36147 62.46693),35,31.061613571417325,"[Moa,Alvikvegen,Borgundvegen,Brusdalsvegen]"
00ec66c6dc7daec3ccdc48ee9606b1db,trunk,POINT(6.36147 62.46693),30,367.22117112593611,"[Ålesundsvegen,Borgundvegen,Moatunnelen,Moa]"
00ec66c6dc7daec3ccdc48ee9606b1db,unclassified,POINT(6.36147 62.46693),24,63.003204886022772,"[Spjelkavikvegen,Moavegen,Langelandsvegen,Olav Sundes veg,Vasstrandvegen,Holssletta]"
00ec66c6dc7daec3ccdc48ee9606b1db,primary,POINT(6.36147 62.46693),1,496.59381422500309,[Lerstadvegen]
00f6f2aea0e63678bd9b5b8b538286cc,,POINT(14.34614 55.5577),0,,[]
00f77e5f6b60bcb2450a4947679f8cde,,POINT(10.83068 54.93298),0,,[]
0188655aa7dc8dc2926ec1a56be4eb13,,POINT(10.4784 55.23725),0,,[]
019bcb655cccd5eb1c6c35c8c2b1718e,,POINT(10.25071 59.13388),0,,[]
01d0ddaf97bac85993cb234b4bbfc993,service,POINT(7.32423 60.41007),42,6.9854368673016474,"[Sjonaleitsvegen,Rypebrotet,Vestre Maursetlia,Løken]"
01d0ddaf97bac85993cb234b4bbfc993,residential,POINT(7.32423 60.41007),12,83.6405154085709,[Sjonaleitsvegen]
01d0ddaf97bac85993cb234b4bbfc993,trunk,POINT(7.32423 60.41007),2,43.011557783141512,[Hardangervidda]
01d0ddaf97bac85993cb234b4bbfc993,unclassified,POINT(7.32423 60.41007),1,484.99966937076317,[]
0208134fcc54e22549fc30b1134cff91,service,POINT(7.23081 62.74302),89,9.1501696811021986,[]
0208134fcc54e22549fc30b1134cff91,residential,POINT(7.23081 62.74302),59,23.400247453096028,"[Venusvegen,Siriusvegen,Tollevegen,Bergmovegen,Bjørkevegen,Astrupvegen,Lergrovikvegen,Amtmannvegen,Kometvegen,Gjerdevegen,Lundsengvegen,Meteorvegen,Orionvegen,Rognevegen,Neptunvegen,Bergtunvegen,Østtorpvegen]"
0208134fcc54e22549fc30b1134cff91,secondary,POINT(7.23081 62.74302),14,14.9622014509721,[Kviltorpvegen]
0208134fcc54e22549fc30b1134cff91,trunk,POINT(7.23081 62.74302),11,49.9780638474499,[Fannestrandvegen]
0208134fcc54e22549fc30b1134cff91,unclassified,POINT(7.23081 62.74302),7,448.41795533039146,"[Tellusvegen,Nøisomhedvegen,Marsvegen]"
021cc7bb8ae3ea316ae42441d1f9a641,,POINT(9.91172 59.07377),0,,[]
028f4607e46675b74bbb2195e407c449,service,POINT(16.6232 59.60898),66,0.37344826734990977,"[Hällagatan,Hälla ring,Stockholmsvägen]"
028f4607e46675b74bbb2195e407c449,secondary,POINT(16.6232 59.60898),36,149.44150307479575,"[Kranbyggargatan,Stockholmsvägen,Hässlögatan,Hällamotet,Cpl Hällamotet]"
028f4607e46675b74bbb2195e407c449,residential,POINT(16.6232 59.60898),19,266.33854192249544,"[Åsenborgsvägen,Signalistgatan,4:e Kolonistigen,Kolonistigen,Hälla Koloniväg,2:a Kolonistigen,1:a Kolonistigen,Hällagatan,3:e Kolonistigen,Norgegatan,5:e Kolonistigen,6:e Kolonistigen]"
028f4607e46675b74bbb2195e407c449,motorway,POINT(16.6232 59.60898),12,152.59627048959882,[Hällamotet]
028f4607e46675b74bbb2195e407c449,unclassified,POINT(16.6232 59.60898),6,246.9306774502721,"[Hällagatan,Lundby gårdsgata]"
028f4607e46675b74bbb2195e407c449,tertiary,POINT(16.6232 59.60898),5,11.870423430220606,[Stockholmsvägen]
02f096da9e85463e2b1f9fbe439035b4,service,POINT(11.15199 60.07902),90,0.95859578904027332,"[Smed Bakkes veg,Essevegen]"
02f096da9e85463e2b1f9fbe439035b4,trunk,POINT(11.15199 60.07902),25,142.56541468488697,"[Kirkedalsbrua,Kongsvingervegen]"
02f096da9e85463e2b1f9fbe439035b4,residential,POINT(11.15199 60.07902),16,203.73464803391721,"[Bakkelia,Prestmoen,Vestre Skibakk,Godtland,Galgebakken]"
02f096da9e85463e2b1f9fbe439035b4,motorway,POINT(11.15199 60.07902),15,25.706791835445102,[]
02f096da9e85463e2b1f9fbe439035b4,secondary,POINT(11.15199 60.07902),12,198.21247371873247,[Kongsvingervegen]
02f096da9e85463e2b1f9fbe439035b4,unclassified,POINT(11.15199 60.07902),7,22.693852585670292,"[Prestmoen,Væringsvegen,Godtland]"
02f096da9e85463e2b1f9fbe439035b4,tertiary,POINT(11.15199 60.07902),1,363.91665112354536,[Dyrskuevegen]
02f1d9000f56183d2e963b76a936ecd4,,POINT(16.33588 56.67171),0,,[]
0302217f4564ebc32b3fec38ef17b0ad,service,POINT(10.93344 60.8874),252,8.5566582260029378,"[Brugata,Teglvegen,Lille ringveg]"
0302217f4564ebc32b3fec38ef17b0ad,primary,POINT(10.93344 60.8874),38,90.181551217352876,"[Ringsakervegen,Furnesvegen]"
0302217f4564ebc32b3fec38ef17b0ad,residential,POINT(10.93344 60.8874),34,127.98591493714898,"[Bakkehaugvegen,Breskerudvegen,Lille ringveg,Sjurstuvegen,Kirkevegen,Bausbakkvegen,Skolevegen,Badstuvegen,Lillevegen,Elvegata,Nygata]"
0302217f4564ebc32b3fec38ef17b0ad,secondary,POINT(10.93344 60.8874),24,117.15717698947265,"[Fagerlundvegen,Nils Amblis veg,Berger Langmoens veg,Strandsagvegen]"
0302217f4564ebc32b3fec38ef17b0ad,tertiary,POINT(10.93344 60.8874),3,17.407676478366266,[Fabrikkvegen]
0317de7c5f68e4978cfb41c707ebfae6,primary,POINT(8.50806 56.08636),21,39.558149505059674,"[Brejningvej,Ringkøbingvej]"
0317de7c5f68e4978cfb41c707ebfae6,service,POINT(8.50806 56.08636),10,20.243318527122213,[]
0317de7c5f68e4978cfb41c707ebfae6,unclassified,POINT(8.50806 56.08636),1,480.23745479046158,[Rudmosevej]
0328ddf03bb0afa004fd9f8d93137c09,service,POINT(10.67641 59.92174),126,2.103393869616323,"[Verkstedveien,Drammensveien,Hengsengveien,Harbitzalléen,Hoffsveien,Bygdøyveien,Hovfaret,Sjolystparken,Skabos vei,Skøyen terrasse,Sigurd Iversens vei]"
0328ddf03bb0afa004fd9f8d93137c09,primary,POINT(10.67641 59.92174),24,21.096418805396468,[Drammensveien]
0328ddf03bb0afa004fd9f8d93137c09,tertiary,POINT(10.67641 59.92174),20,41.041299775105465,"[Sigurd Iversens vei,Karenslyst allé,Hoffsveien,Harbitzalléen]"
0328ddf03bb0afa004fd9f8d93137c09,residential,POINT(10.67641 59.92174),16,173.4031245431305,"[Nedre Skøyen vei,Harbitzalléen,Bygdøyveien,Hengsengveien,Adventveien,Abbediengveien,Askekroken,Astrids vei,Askeveien,Tingstuveien,Hovfaret]"
0328ddf03bb0afa004fd9f8d93137c09,trunk,POINT(10.67641 59.92174),16,35.468641384613193,"[Sjølystveien,Drammensveien,Sjølysttunnelen]"
0328ddf03bb0afa004fd9f8d93137c09,unclassified,POINT(10.67641 59.92174),8,318.94030451991068,"[Sjølyst plass,Tyskestrandveien,Skabos vei,Karenslyst allé]"
0328ddf03bb0afa004fd9f8d93137c09,living_street,POINT(10.67641 59.92174),1,483.96355217571141,[Elmholt allé]
033d35fc2f22218a34a61a80ccc1e76e,service,POINT(8.90872 61.24859),108,5.32683556961777,"[Ørrelie,Skjenhauglie]"
033d35fc2f22218a34a61a80ccc1e76e,residential,POINT(8.90872 61.24859),37,22.883910342944464,"[Ryllikvegen,Furudammen,Beinvegen,Solvegen,Skjenhauglie,Beitobrinken,Brennestølsvegen,Viervegen,Henryvegen,Åsvegen,Hagastølen,Øvrevegen]"
033d35fc2f22218a34a61a80ccc1e76e,unclassified,POINT(8.90872 61.24859),16,84.866290135082963,"[Solbakkin,Finntøppvegen,Skjenhauglie,Ørrelie]"
033d35fc2f22218a34a61a80ccc1e76e,primary,POINT(8.90872 61.24859),6,57.886623583328443,[Bygdinvegen]
033d35fc2f22218a34a61a80ccc1e76e,tertiary,POINT(8.90872 61.24859),2,133.72062553238172,[Beitestølsvegen]
0362e54133d2ed060bab62ff5494ab53,,POINT(9.67749 59.03634),0,,[]
037f5bd1b123b5f99ec37123f30712b0,service,POINT(11.22365 64.22263),30,30.72893841222465,"[Gløttvegen,Snekkarvegen]"
037f5bd1b123b5f99ec37123f30712b0,primary,POINT(11.22365 64.22263),11,16.563705662855458,[Namsosvegen]
037f5bd1b123b5f99ec37123f30712b0,residential,POINT(11.22365 64.22263),11,88.271703864860328,"[Mellomvegen,Tomasmoen,Åshøgda,Trøavegen,Smedvegen]"
