id,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,grocery_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist
18807297829ba67caf27db367d2b6b3d,0.0,2.0,0.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,18.0,1.0,0.0,1000.0,363.99880568279747,1000.0,71.34283080116691,374.7909565714457,173.16386513931127,367.96094686127225,433.80928449758835,433.6508905843724,204.7980643910983,386.3556698886234,127.65984857880038,119.56048008280068,393.983544289958,1000.0
9403c98d391a7b8533e5a1bcd1eb96e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
06a79aa39cb4a5845d0e1c284552cb13,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1000.0,138.3643945712702,1000.0,1000.0,1000.0,1000.0,1000.0,447.4752699656171,1000.0,1000.0,1000.0,1000.0,403.0935233632044,1000.0,1000.0
c976de4b089c5e03f36b0c6c9e99a15f,1.0,15.0,1.0,4.0,0.0,1.0,1.0,3.0,2.0,13.0,1.0,3.0,44.0,0.0,0.0,491.5703058805343,244.68313067227314,482.8806305113062,56.65668609141152,1000.0,246.02456137077624,287.26583633773663,224.1180037847374,224.1180037847374,99.32820908120367,316.31058795517214,453.8895474812068,100.66729237401958,1000.0,1000.0
d54d2fc2230f0be09ecf907cb458371e,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,1000.0,1000.0,1000.0,288.83165243077275,1000.0,1000.0,271.3216002935235,4.631996682343179,1000.0,264.5513876127571,1000.0,425.2280746251198,54.595678795833294,1000.0,1000.0
642dac7905ac703a21fc38c4673ef6c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
139f09a6b8fa4c46da2e7d42dfa3406e,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,399.5472951664106,271.9657170317652,1000.0,206.61053843832698,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,200.33574409226026,45.63834987116911,1000.0,1000.0
646b808fd2d8607d238cceff8274f08b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2c1143ef35c6d1de439b3adf6c99b3b2,2.0,6.0,0.0,5.0,1.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,11.0,0.0,1.0,488.5511813102899,202.65832635879266,1000.0,71.00620509126627,285.2584225193434,1000.0,407.93742801585614,142.14214375226265,110.76139263737116,1000.0,1000.0,215.40266987896138,13.42735324901929,1000.0,346.7326067536779
a2f3c61742317945ed409c2d2aa11fe4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,11.0,1.0,0.0,1000.0,1000.0,1000.0,76.31778306721888,105.25603994350506,1000.0,1000.0,55.16388840133652,1000.0,128.77651779793814,1000.0,1000.0,162.86229405373024,111.64182041929365,1000.0
649b268330560e01920e120ca8fe13a9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1000.0,292.0695837418641,1000.0,1000.0,494.0035898366299,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,12.486558817266165,1000.0,1000.0
c28c7ca5d5ef2972e46857c857c015a4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1000.0,238.51596412677327,1000.0,1000.0,391.3516506585291,1000.0,1000.0,1000.0,1000.0,323.98636817910875,1000.0,1000.0,24.850410018113884,1000.0,1000.0
24182b5a748038e173eba3bd85c535fa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
