id,size_total,active_days_count,percentage_average,average_daily_minutes,capacity_kw,station_name,country_name,calendar_day_count,geometry,living_street_dist,motorway_dist,primary_dist,residential_dist,secondary_dist,road_service_dist,tertiary_dist,trunk_dist,unclassified_dist,road_count_living_street,motorway_count,primary_count,road_count_residential,secondary_count,road_service_count,tertiary_count,trunk_count,unclassified_count,operator,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,supermarket_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist,occupation_rate,population,total_time_spent,lng,lat,good_feature_score,score_performance,occupation_rank
86597863b1e8351beaa48ef262f748f8,4,168,0.512350562587904,7.37784810126582,150,Vattenfall - Strandvägen null,Sweden,395,POINT (16.21072 65.95757),1000,1000,1000,93.86,17.7,11.54,1000,1000,301.24,0,0,0,44,14,13,0,0,5,Vattenfall SE,2,7,0,0,0,0,0,1,0,1,0,0,0,0,1,251.04,200.2,1000,1000,1000,1000,1000,101.93,1000,250.22,1000,1000,1000,1000,491.09,"(0.0, 3.115]",0.49,300,16.21072,65.95757,2.4,1233,10
986825dc0bd3f0b5a181960c37a00af8,22,357,0.510016516171819,7.3442378328742,200,Eiker Senter - Prestebråtan 6,Norway,396,POINT (9.90219 59.76046),1000,1000,1000,118.14,24.12,1.36,278.01,238.49,158.07,0,0,0,17,25,53,6,20,4,Kople AS,1,1,0,0,5,0,2,2,5,3,2,1,16,1,2,376.03,135.27,1000,1000,84.02,1000,88.65,119.28,93.85,84.98,100.14,482.93,11.36,91.41,488.48,"(0.0, 3.115]",1.96,595,9.90219,59.76046,5.4,1234,10
2fbb381d7a2d262879d6f63ef5913811,2,129,0.507246376811594,7.30434782608696,150,Vattenfall - Gubbträskvägen 2,Sweden,322,POINT (17.67764 65.00612),1000,1000,1000,125.68,1000,15.28,71.66,80.61,499.48,0,0,0,12,0,10,3,3,1,Vattenfall SE,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1000,12.28,1000,1000,1000,1000,1000,31.73,1000,1000,1000,316.09,59.94,1000,1000,"(0.0, 3.115]",3.07,150,17.67764,65.00612,1.8,1235,10
065858cd1d8ccbe92d688da67fc99988,23,285,0.502571789401408,7.23703376738027,150,Geilo,Norway,394,POINT (8.20845 60.53242),1000,1000,11.99,91.62,1000,11.34,155.89,127.78,57.69,0,0,7,23,0,71,11,18,3,Eviny,7,9,0,12,3,1,3,4,7,4,2,3,16,3,3,98.2,167.85,1000,163.65,269.03,252.43,160.89,164.18,146.79,156.31,173.68,49.18,148.01,143.74,173.86,"(0.0, 3.115]",0.63,692.5,8.20845,60.53242,5.6,1236,10
9a117a6eae56d996c821473728c785f0,22,349,0.499344712952308,7.19056386651323,300,Coop Rudshøgda,Norway,395,POINT (10.81155 60.91062),1000,28.31,46.66,227.71,46.86,9.43,101.31,1000,62.92,0,10,32,1,17,73,5,0,17,Kople AS,0,2,0,3,2,1,0,1,1,4,0,2,17,0,0,1000,236.79,1000,148.26,179.85,189.19,1000,209.48,453.2,216.05,1000,147.22,22.87,1000,1000,"(0.0, 3.115]",1.96,347.5,10.81155,60.91062,3.8,1237,10
97cb5dd4ed05a963cabef20f2a3da03b,8,303,0.499197706228956,7.18844696969697,150,Overhalla kommunehus,Norway,396,POINT (11.94781 64.49398),1000,1000,37.55,26.03,60.01,39.99,1000,1000,16.58,0,0,17,14,4,39,0,0,7,Kople AS,1,4,0,2,0,0,0,2,1,1,1,2,7,0,1,324.02,160.58,1000,125.2,1000,1000,1000,65.12,414.29,452.47,82.65,177.13,11.17,1000,171.12,"(0.0, 3.115]",1.96,517.5,11.94781,64.49398,3.8,1238,10
b55f050072f00c54ea72cb34e6cc63b0,8,172,0.495058760683761,7.12884615384615,300,Kjøpsvik,Norway,260,POINT (16.3762 68.09834),1000,1000,1000,11.67,1000,1.17,25.88,266.33,287.84,0,0,0,64,0,21,26,14,3,Eviny,3,1,0,1,0,0,0,2,0,0,0,1,1,0,1,116.06,198.92,1000,156.7,1000,1000,1000,61.55,1000,1000,1000,235.47,345.2,1000,188.81,"(0.0, 3.115]",0.49,397.5,16.3762,68.09834,3,1239,10
25f1b8454d99222102a2f7b171dd80c5,10,297,0.494546156004489,7.12146464646465,150,Recharge Magneten,Norway,396,POINT (11.28226 63.73403),1000,1000,1000,352.93,243.43,3.73,16.19,169.51,1000,0,0,0,5,8,40,16,14,0,Recharge,0,3,2,4,10,5,3,6,9,11,4,1,16,3,0,1000,149.28,129.06,79.05,129.88,140.92,183.32,38.73,37.59,75.89,164.98,156.22,105.55,147.06,1000,"(0.0, 3.115]",1.96,572.5,11.28226,63.73403,5.4,1240,10
b721a19de7dd64af307067cfc49bc9e5,6,198,0.487815072016461,7.02453703703704,150,Ishavsveien - Havøysund,Norway,360,POINT (24.66073 70.99756),1000,1000,147.78,43.47,1000,80.79,1000,1000,215.76,0,0,7,30,0,21,0,0,5,Kople AS,2,3,0,2,1,0,1,3,1,2,0,2,3,0,1,220.33,101.54,1000,193.11,186.98,1000,313.89,108.54,287.98,108.33,1000,116.18,41.42,1000,191.68,"(0.0, 3.115]",0.05,512.5,24.66073,70.99756,3.6,1241,10
3721c2d9c64b4f96de24cf1e32992745,13,306,0.486677674177674,7.00815850815851,150,Recharge Esso Lillehammer,Norway,396,POINT (10.43377 61.13089),1000,1000,48.73,185.93,1000,9.69,496.85,54.55,15.89,0,0,12,3,0,86,2,11,11,Recharge,0,0,0,1,0,0,1,0,0,4,0,1,17,0,1,1000,1000,1000,116.68,1000,1000,15.32,1000,1000,157.91,1000,257.13,14.98,1000,161.07,"(0.0, 3.115]",1.96,232.5,10.43377,61.13089,3.8,1242,10
eecb3279db8dc740323b875d13e30d7b,6,260,0.486111111111111,7,200,YX Reinsvoll,Norway,357,POINT (10.61392 60.6862),1000,1000,62.65,79.03,269.86,7.21,1000,151.15,52.77,0,0,22,12,4,69,0,7,2,Kople AS,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1000,214.09,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,43.42,1000,1000,"(0.0, 3.115]",1.96,120,10.61392,60.6862,1.4,1243,10
