id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry,road_distance_nan,road_distance_living_street,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_distance_motorway,road_count_nan,road_count_living_street,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified,road_count_motorway
303e23a20828d3bd51eecda66383e525,2,2024-09-01,2025-08-31,365,343,13.876236681887363,199.8178082191781,Eviny,350.0,Idrettsgata 61 8370 LEKNES,Rema 1000 Leknes,Norway,365,POINT(13.62055 68.14511),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
a17880ad0d882c4f06f232a83c2d1037,2,2024-09-01,2025-08-31,365,257,12.682838660578385,182.63287671232877,Kople As,75.0,Flostrandveien 2 8725 UTSKARPEN,LAD OPP - Utskarpen - AC,Norway,365,POINT(13.55049 66.29599),1000.0,1000.0,21.077474435497304,423.09390166139156,1000.0,4.507440822864338,1000.0,1000.0,1000.0,1000.0,0,0,4,2,0,16,0,0,0,0.0
6dd859991c7faed1367eb49f8abe9231,6,2025-05-24,2025-08-31,100,84,12.645601851851854,182.0966666666667,Ionity,350.0,Kleist Geddes Vei 35 7890 NAMSSKOGAN,IONITY Namsskogan,Norway,100,POINT(13.16774 64.93432),,,,,,,,,,,,,,,,,,,,
df4229c822a5349d9867e36e4c6a289c,2,2024-09-01,2025-08-31,365,219,11.540620243531201,166.18493150684932,Kople As,75.0,Dalheimveien 2 8178 HALSA,LAD OPP - Halsa - AC,Norway,365,POINT(13.55166 66.74281),1000.0,1000.0,33.45473683282132,43.98430858578029,1000.0,32.48693471846411,1000.0,1000.0,94.90087790880752,1000.0,0,0,6,14,0,35,0,0,4,0.0
53c5f0e4462f75ce099dc6b5055fd101,4,2024-09-01,2025-08-31,365,341,11.419758371385084,164.44452054794522,Mer,150.0,Storgata 8 8370 LEKNES,Lofotsenteret,Norway,365,POINT(13.6183 68.14824),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
0e6e5d26963b1b83183beb70aadc63d5,1,2024-09-01,2025-08-31,365,310,11.158295281582951,160.67945205479452,Recharge,150.0,Verkstedveien 3 8624 MO I RANA,Recharge Esso Langneset,Norway,365,POINT(14.13423 66.3045),1000.0,1000.0,1000.0,93.50338586844852,1000.0,8.27322647148762,110.44223051135636,62.83805639824648,54.276942323552746,1000.0,0,0,0,56,0,61,16,32,12,0.0
47fceadb3a4d4745d2c06158c0dafd9d,4,2024-09-01,2025-08-31,365,341,10.998810882800607,158.38287671232877,Mer,150.0,Verftsgata 4 7800 NAMSOS,Namsos Storsenter,Norway,365,POINT(11.48985 64.46843),1000.0,1000.0,21.52426651938393,66.82650703028686,214.21047922406663,46.52225860705783,1000.0,1000.0,11.511737841040429,1000.0,0,0,41,75,7,32,0,0,63,0.0
2c0a1c43ce2b61b2fce6a2a3a7f3856f,2,2025-04-07,2025-08-31,147,144,10.988756613756612,158.23809523809524,Kople As,180.0,Chr. Tidemanns vei 1 8150 ØRNES,LAD OPP - Ørnes - AC,Norway,147,POINT(13.7054 66.87337),1000.0,1000.0,16.76954315408864,131.53741029410392,1000.0,29.353180771462565,299.0924054307888,1000.0,1000.0,1000.0,0,0,14,40,0,46,4,0,0,0.0
bd4bb2002760ffeee11970b085a2cc77,4,2024-09-01,2025-08-31,365,339,10.879661339421615,156.66712328767125,Uno-X,300.0,Sjøgata 47A 8200 FAUSKE,Uno-X Fauske,Norway,365,POINT(15.38319 67.25873),1000.0,1000.0,1000.0,37.42738579795943,1000.0,2.5959068592367247,1000.0,35.29989373882044,123.51266044682001,1000.0,0,0,0,87,0,62,0,40,8,0.0
ca229a07bbf1291dee1067adc73e0194,1,2024-09-01,2025-08-31,365,342,10.837709284627095,156.06301369863013,Kople As,150.0,Sjøgata 43 9300 FINNSNES,Ishavskraft - Finnsnes,Norway,365,POINT(18.00306 69.23121),1000.0,1000.0,21.747746141692446,61.13367687973064,1000.0,6.315324397170438,62.19041179287538,1000.0,19.70587515443409,1000.0,0,0,18,44,0,43,9,0,13,0.0
