id,size_total,active_days_count,percentage_average,average_daily_minutes,capacity_kw,station_name,country_name,calendar_day_count,geometry,living_street_dist,primary_dist,residential_dist,secondary_dist,road_service_dist,tertiary_dist,trunk_dist,unclassified_dist,motorway_dist,road_count_living_street,primary_count,road_count_residential,secondary_count,road_service_count,tertiary_count,trunk_count,unclassified_count,motorway_count,operator,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,supermarket_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist,occupation_rate,population,total_time_spent,lng,lat,good_feature_score,score_performance,occupation_rank,Supermarket,Shopping,Services,Hotel,Restaurant,Leisure,poi_categories_present,poi_categories_present_str,nearest_major_road_dist,nearest_major_road_type
ae2c627dd02355b40b1c5424f380b235,1,155,14.621786042240586,210.5537190082645,75.0,PWR UP - Terråk,Norway,363,POINT (12.37507 65.08909),1000.0,46.94,49.07,291.07,12.41,79.08,1000.0,108.67,1000.0,0.0,6.0,30.0,4.0,17.0,3.0,0.0,5.0,0.0,Kople As,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,159.36,43.01,1000.0,1000.0,1000.0,1000.0,1000.0,1.44,66.68,1000.0,1000.0,91.86,37.21,1000.0,1000.0,"(13.841, 18.455]",1.96,300.0,12.37507,65.08909,4.6,11,2.0,1.0,1.0,6.0,2.0,0.0,4.0,5,5/6,46.94,primary
a17880ad0d882c4f06f232a83c2d1037,2,257,12.682838660578383,182.6328767123288,75.0,LAD OPP - Utskarpen - AC,Norway,365,POINT (13.55049 66.29599),1000.0,21.08,423.09,1000.0,4.51,1000.0,1000.0,1000.0,1000.0,0.0,4.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,Kople As,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1000.0,265.82,1000.0,1000.0,1000.0,1000.0,1000.0,21.66,15.34,1000.0,1000.0,1000.0,6.59,1000.0,1000.0,"(9.228, 13.841]",0.49,150.0,13.55049,66.29599,3.6,12,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4,4/6,21.08,primary
df4229c822a5349d9867e36e4c6a289c,2,219,11.5406202435312,166.18493150684932,75.0,LAD OPP - Halsa - AC,Norway,365,POINT (13.55166 66.74281),1000.0,33.45,43.98,1000.0,32.49,1000.0,1000.0,94.9,1000.0,0.0,6.0,14.0,0.0,35.0,0.0,0.0,4.0,0.0,Kople As,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1000.0,48.03,1000.0,56.94,1000.0,1000.0,1000.0,56.28,1000.0,1000.0,1000.0,1000.0,36.47,1000.0,303.83,"(9.228, 13.841]",0.49,247.5,13.55166,66.74281,3.8,13,3.0,1.0,0.0,5.0,0.0,2.0,3.0,4,4/6,33.45,primary
0e6e5d26963b1b83183beb70aadc63d5,1,310,11.158295281582951,160.67945205479452,150.0,Recharge Esso Langneset,Norway,365,POINT (14.13423 66.3045),1000.0,1000.0,93.5,1000.0,8.27,110.44,62.84,54.28,1000.0,0.0,0.0,56.0,0.0,61.0,16.0,32.0,12.0,0.0,Recharge,2.0,4.0,0.0,5.0,3.0,2.0,2.0,4.0,3.0,6.0,0.0,4.0,20.0,4.0,0.0,376.6,148.23,1000.0,208.39,196.91,24.88,193.02,41.91,66.42,53.29,1000.0,348.63,43.4,200.33,1000.0,"(9.228, 13.841]",0.49,572.5,14.13423,66.3045,6.4,14,3.0,8.0,18.0,24.0,2.0,7.0,4.0,6,6/6,62.84,trunk
47fceadb3a4d4745d2c06158c0dafd9d,4,341,10.998810882800608,158.38287671232877,150.0,Namsos Storsenter,Norway,365,POINT (11.48985 64.46843),1000.0,21.52,66.83,214.21,46.52,1000.0,1000.0,11.51,1000.0,0.0,41.0,75.0,7.0,32.0,0.0,0.0,63.0,0.0,Mer,2.0,18.0,1.0,16.0,14.0,4.0,5.0,4.0,9.0,8.0,4.0,11.0,53.0,1.0,3.0,104.49,70.97,80.49,72.67,76.38,73.59,45.98,112.78,71.37,64.26,61.45,200.92,76.0,50.74,231.05,"(9.228, 13.841]",1.96,752.5,11.48985,64.46843,7.4,15,3.0,5.0,36.0,69.0,2.0,21.0,21.0,6,6/6,21.52,primary
2c0a1c43ce2b61b2fce6a2a3a7f3856f,2,144,10.988756613756612,158.23809523809524,180.0,LAD OPP - Ørnes - AC,Norway,147,POINT (13.7054 66.87337),1000.0,16.77,131.54,1000.0,29.35,299.09,1000.0,1000.0,1000.0,0.0,14.0,40.0,0.0,46.0,4.0,0.0,0.0,0.0,Kople As,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,4.0,0.0,1.0,1000.0,96.69,1000.0,1000.0,80.74,1000.0,1000.0,74.21,113.09,1000.0,1000.0,120.71,84.1,1000.0,491.54,"(9.228, 13.841]",0.49,280.0,13.7054,66.87337,4.6,16,3.0,3.0,5.0,10.0,0.0,0.0,3.0,4,4/6,16.77,primary
bd4bb2002760ffeee11970b085a2cc77,4,339,10.879661339421617,156.66712328767125,300.0,Uno-X Fauske,Norway,365,POINT (15.38319 67.25873),1000.0,1000.0,37.43,1000.0,2.6,1000.0,35.3,123.51,1000.0,0.0,0.0,87.0,0.0,62.0,0.0,40.0,8.0,0.0,Uno-X,0.0,10.0,0.0,4.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,9.0,20.0,0.0,1.0,1000.0,167.52,1000.0,283.89,1000.0,120.12,272.46,75.27,413.6,330.78,160.39,80.52,21.61,1000.0,356.39,"(9.228, 13.841]",0.49,442.5,15.38319,67.25873,6.4,17,3.0,4.0,4.0,30.0,0.0,5.0,11.0,5,5/6,35.3,trunk
ca229a07bbf1291dee1067adc73e0194,1,342,10.837709284627095,156.06301369863013,150.0,Ishavskraft - Finnsnes,Norway,365,POINT (18.00306 69.23121),1000.0,21.75,61.13,1000.0,6.32,62.19,1000.0,19.71,1000.0,0.0,18.0,44.0,0.0,43.0,9.0,0.0,13.0,0.0,Kople As,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,6.0,11.0,0.0,1.0,1000.0,361.51,1000.0,1000.0,1000.0,59.74,1000.0,86.88,420.0,106.82,1000.0,93.12,1.56,1000.0,318.99,"(9.228, 13.841]",0.49,300.0,18.00306,69.23121,6.0,18,3.0,2.0,4.0,17.0,0.0,0.0,6.0,4,4/6,21.75,primary
7d6c6baa493871fdbdb06fc321abb272,1,105,10.831997863247864,155.98076923076923,75.0,PWR UP - Beiarn,Norway,364,POINT (14.7604 66.98871),1000.0,91.81,454.36,23.42,58.07,1000.0,1000.0,95.4,1000.0,0.0,6.0,2.0,2.0,11.0,0.0,0.0,4.0,0.0,Kople As,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,79.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,25.83,1000.0,1000.0,1000.0,1000.0,0.36,1000.0,1000.0,"(9.228, 13.841]",0.49,150.0,14.7604,66.98871,3.4,19,3.0,2.0,0.0,3.0,2.0,0.0,0.0,3,3/6,91.81,primary
4d2e027600b2ea83462bd18048cd8bfe,1,121,10.738545657726696,154.63505747126436,75.0,Kople YX Brøstadbotn,Norway,348,POINT (17.70315 69.0933),1000.0,1000.0,368.28,24.84,5.9,1000.0,1000.0,273.61,1000.0,0.0,0.0,6.0,2.0,10.0,0.0,0.0,14.0,0.0,Kople As,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,386.88,1000.0,1000.0,1000.0,400.19,0.24,1000.0,1000.0,"(9.228, 13.841]",0.49,60.0,17.70315,69.0933,3.0,20,3.0,1.0,0.0,5.0,0.0,0.0,0.0,2,2/6,1000.0,motorway
