id,road_distance_nan,road_distance_living_street,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_distance_motorway,road_count_nan,road_count_living_street,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified,road_count_motorway
220df1737c89a16b63db9e16f1623f9a,1000,1000.0,105.36784991505213,309.70540513312295,344.89147834796387,28.55077133326883,1000.0,1000.0,16.223790905999376,1000,0,0,6,37,2,14,0,0,6,0
2383425b7d496ff065b650bba4989c12,1000,1000.0,1000.0,1000.0,1000.0,12.323239233659871,18.04193599208011,94.24660170374864,24.822642727549844,1000,0,0,0,0,0,7,1,11,7,0
23c761dd9c49d89164a0d91da9ebf73c,1000,1000.0,1000.0,300.2192117737438,1000.0,2.9767528299664803,1000.0,43.01890800360118,134.64974896194303,1000,0,0,0,6,0,22,0,12,1,0
24e645be9d875bcd53946e9a7aeef51f,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,0,0,0,0,0,0,0,0,0,0
254a0b4aa0060cc8f5580d9a7efce3f2,1000,1000.0,1000.0,159.2160237199404,1000.0,4.537911679528121,95.86162632804616,204.1869484690636,112.02987757659507,1000,0,0,0,85,0,102,49,25,10,0
25d57283fcde4814d8bf617185e15cae,1000,1000.0,1000.0,1000.0,1000.0,8.9435452497224,1000.0,56.927397677759565,1000.0,1000,0,0,0,0,0,6,0,1,0,0
289e4d885c0673e23a1f615968d3fada,1000,1000.0,1000.0,6.4709174644893706,7.19393914591403,23.10656029878613,1000.0,423.7053731460511,9.183872538677488,1000,0,0,0,44,19,57,0,8,11,0
29923690c97a2154afdd6f925d6f25ef,1000,1000.0,1000.0,54.9418990216183,1000.0,13.70758786478272,52.26180863847311,58.01893038518907,55.586697904883586,1000,0,0,0,9,0,27,13,22,3,0
2a2318dd0d79b54254e8518d66c11f9b,1000,1000.0,211.8486952081509,213.03510003964428,1000.0,25.210756796180267,18.400155364726587,1000.0,89.64148800637655,1000,0,0,17,50,0,121,11,0,3,0
2a3ba8312f98687a1e3d6f4ea347e52c,1000,1000.0,1000.0,65.32868962288713,1000.0,15.800893284341049,20.678686495475006,84.39803183913567,228.61753831671487,1000,0,0,0,35,0,123,15,13,4,0
