id,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,gas_stations_count,grocery_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,gas_stations_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist
f6ef637eb61c9095d1e97ed8088b4908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1000.0,1000.0,1000.0,92.51273364109376,1000.0,1000.0,1000.0,77.04150151505897,24.527583700737477,1000.0,1000.0,1000.0,86.1288156702773,77.04150151505897,1000.0,1000.0
a3c36c7ef6eb303e39cbfca423bc200e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
93dac09bca00923e49bbe7390495798d,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,6.0,31.0,0.0,0.0,1000.0,216.4578983091637,1000.0,99.66157819173252,1000.0,187.12553827045213,1000.0,98.58848457362495,390.1816283618301,1000.0,100.15417516738572,1000.0,24.385641837009494,2.674106845987006,1000.0,1000.0
638bacbd9f18c016e649b9eee59efa73,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1000.0,87.07553017501566,1000.0,72.88402248194622,1000.0,1000.0,1000.0,28.37545358114139,72.68676252137419,203.13228171706214,1000.0,1000.0,345.1478928627919,25.46720913508728,1000.0,1000.0
d19ae78cc789f861f848b6b3515d3973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.697175500773714,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,36.09325173361288,1000.0,1000.0
7d0208cddba62ef72c77f85145cecc13,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,4.0,13.0,0.0,1.0,1000.0,216.08905757619706,1000.0,343.07187037433636,1000.0,1000.0,1000.0,43.82459352771012,195.61996155854337,234.59614551740793,327.45407319440443,1000.0,210.7652760892831,43.82459352771012,1000.0,417.2912069253585
84766dc04b47c5f442f3714af593b052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
ae2c627dd02355b40b1c5424f380b235,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,159.3562741303069,43.010409224017515,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.4385629197505807,66.68253754342486,1000.0,1000.0,91.85983704109267,37.21366651199983,1000.0,1000.0
303e23a20828d3bd51eecda66383e525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
a17880ad0d882c4f06f232a83c2d1037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1000.0,265.8248925418986,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,21.66360545961347,15.337281812362946,1000.0,1000.0,1000.0,6.5877296721189635,1000.0,1000.0
df4229c822a5349d9867e36e4c6a289c,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1000.0,48.03213120121703,1000.0,56.94384949843656,1000.0,1000.0,1000.0,167.34117288005027,56.280475375227994,1000.0,1000.0,1000.0,1000.0,36.47344707163675,1000.0,303.82703342964965
53c5f0e4462f75ce099dc6b5055fd101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
0e6e5d26963b1b83183beb70aadc63d5,2.0,4.0,0.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,6.0,0.0,4.0,20.0,4.0,0.0,376.6016299799088,148.23481732016506,1000.0,208.3920372384392,196.90934522760156,24.883766521895108,193.01795135775296,43.39577879153386,41.91008755463219,66.42087676404232,53.28651761745673,1000.0,348.63320295948427,43.39577879153386,200.33059952719725,1000.0
2c0a1c43ce2b61b2fce6a2a3a7f3856f,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,4.0,0.0,1.0,1000.0,96.68657669376874,1000.0,1000.0,80.73592545356593,1000.0,1000.0,273.49094975407127,74.20964778638822,113.09148715349184,1000.0,1000.0,120.71463918832511,84.10115839728196,1000.0,491.5399443245429
bd4bb2002760ffeee11970b085a2cc77,0.0,10.0,0.0,4.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,9.0,20.0,0.0,1.0,1000.0,167.51596559203412,1000.0,283.88711539311396,1000.0,120.11584404993027,272.4592031008925,21.605160748801744,75.26865442012698,413.5964803096921,330.7796273666406,160.3901353270242,80.52481965076755,21.605160748801744,1000.0,356.3862521579542
7d6c6baa493871fdbdb06fc321abb272,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,79.69881601826414,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,53.48705561537932,25.82990834232344,1000.0,1000.0,1000.0,1000.0,0.3581675708474669,1000.0,1000.0
