id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry
bbc97c4ba71332f2ffab1251e50155d3,4,2024-09-01,2025-08-31,365,309,9.409579528158295,135.49794520547945,Recharge,400.0,Nordmoveien 17 8530 BJERKVIK,St1 Bjerkvik,Norway,365,POINT(17.55747 68.55121)
a93a2e90f0c1e498c030ae4548c1fe8f,1,2025-05-12,2025-08-31,112,38,9.283234126984127,133.67857142857142,Kople As,75.0,Sandnes 10 8230 SULITJELMA,PWR UP - Sulitjelma,Norway,112,POINT(16.07045 67.13385)
c9e1bbdfcc2f9b622ae9db6bfea89fcf,1,2024-09-01,2025-08-31,365,315,9.03443683409437,130.0958904109589,Recharge,300.0,Nordmoveien 17 8530 BJERKVIK,St1 Bjerkvik,Norway,365,POINT(17.55747 68.55121)
9b480c73cc2a5e9b705485e4c7a6697d,1,2024-09-01,2025-08-31,365,293,9.000570776255708,129.60821917808218,Recharge,200.0,Verkstedveien 3 8624 MO I RANA,Recharge Esso Langneset,Norway,365,POINT(14.13423 66.3045)
a8330b99e2c0817b68b70398ca21ea4b,6,2024-10-13,2025-08-31,323,189,8.720616901731454,125.57688338493293,Eviny,100.0,Lofotgata 33 8300 SVOLVÆR,Alti Svolvær,Norway,323,POINT(14.55993 68.23444)
01716bdeedb37b1c6f03492ffb19b51f,4,2024-09-01,2025-08-31,365,343,8.618483637747337,124.10616438356165,Kople As,300.0,Sjøbergsgate  8800 SANDNESSJØEN,LAD OPP - Kulturbadet Sandnessjøen,Norway,365,POINT(12.63804 66.0225)
6363f0c010b3b8dbe7974c0284bd9f4f,2,2025-04-07,2025-08-31,147,137,8.505291005291005,122.47619047619048,Kople As,180.0,Industriveien 4b 8480 ANDENES,PWR UP - Coop Extra Andenes,Norway,147,POINT(16.09881 69.31015)
7c5f671ad294eaf0c5ef3330286a485e,3,2024-09-01,2025-08-31,365,341,8.404553526128868,121.02557077625572,Kople As,300.0,Sjøvegen 62 8410 LØDINGEN,LAD OPP - YX Lødingen,Norway,365,POINT(15.99015 68.42124)
02687dbcea9336e264ada304e761bbdd,10,2025-07-19,2025-08-31,44,36,8.064393939393938,116.12727272727274,Circle K,400.0,Stigerplatåveien 2 8626 MO I RANA,Circle K Mo i Rana,Norway,44,POINT(14.15031 66.30749)
166276db9f02968c6d62e4f9c46941c4,2,2025-04-07,2025-08-31,147,145,8.057445200302345,116.02721088435374,Kople As,180.0,Flostrandveien 2 8725 UTSKARPEN,LAD OPP - Utskarpen - AC,Norway,147,POINT(13.55049 66.29599)
2e2147715e658d975dcbe4aede1e5b74,6,2024-12-12,2025-08-31,263,241,7.1502253203774115,102.96324461343472,Mer,150.0,Flyplassveien  8536 EVENES,"Harstad lufthavn, Evenes",Norway,263,POINT(16.69113 68.49155)
6fb93712030f4280008a7bdf911d5dc6,2,2025-04-07,2025-08-31,147,137,7.09136432350718,102.1156462585034,Kople As,180.0,Myklebostadveien 2 8283 LEINESFJORD,PWR UP - Coop Leinesfjord,Norway,147,POINT(15.01624 67.7752)
ad6804db45f11303ff21a2ce176961d7,5,2025-05-26,2025-08-31,98,79,7.085884353741497,102.03673469387753,Ionity,350.0,Hamaroyveien 5719 8276 ULVSVÅG,IONITY Ulvsvåg,Norway,98,POINT(15.87234 68.11759)
1ec25f8ea9579cc00b41f0b5f6f21540,2,2024-09-05,2025-08-31,361,327,7.07246460449369,101.84349030470914,Kople As,50.0,Prinsens gate 100 8048 BODØ,ChargeUp - Fylkeshuset i Bodø,Norway,361,POINT(14.37639 67.28044)
6ce55a58b825a1057c7b763ebb179aa6,2,2025-05-26,2025-08-31,98,79,6.972080498866216,100.39795918367346,Ionity,400.0,Havnegata 44 44 8400 SORTLAND,IONITY Sortland,Norway,98,POINT(15.41338 68.7048)
cbec968fd09486e4e5c2b29c839b178c,1,2024-09-03,2025-08-31,363,215,6.833486378940925,98.40220385674931,Kople As,75.0,Storgata 62 8430 MYRE,PWR UP - Myre,Norway,363,POINT(15.10071 68.91513)
6fb8cddf267eb9f34272cb0463acec81,2,2024-09-01,2025-08-31,365,307,6.824581430745815,98.27397260273973,Recharge,50.0,Nordmoveien 17 8530 BJERKVIK,St1 Bjerkvik,Norway,365,POINT(17.55747 68.55121)
338f6ce2681c3f93982a668d67837cfc,2,2024-09-01,2025-08-31,365,307,6.795186453576865,97.85068493150685,Kople As,150.0,Flakstadveien  8380 RAMBERG,Bodø Energi - Ramberg,Norway,365,POINT(13.22632 68.08956)
c0d2b4650bf6ac24dd167a3717454ea0,2,2024-09-01,2025-08-31,365,308,6.7006278538812785,96.48904109589041,Recharge,50.0,Storgaten 51 8200 FAUSKE,St1 Fauske,Norway,365,POINT(15.3912 67.25931)
c311a27df7cf9bfa183c541427be43a1,2,2025-04-07,2025-08-31,147,144,6.383219954648526,91.91836734693878,Kople As,180.0,Dalheimveien 2 8178 HALSA,LAD OPP - Halsa - AC,Norway,147,POINT(13.55166 66.74281)
f7757a2347f2d11451bfae0bf4e94237,2,2025-05-27,2025-08-31,97,74,6.262170675830469,90.17525773195877,Ionity,350.0,Kulstadbakken 13 8665 MOSJØEN,IONITY Mosjøen,Norway,97,POINT(13.19557 65.86456)
254a0b4aa0060cc8f5580d9a7efce3f2,3,2024-09-01,2025-08-31,365,328,6.089358193810249,87.68675799086758,Mer,50.0,Bolagsgata 1 8514 NARVIK,Amfi Narvik Malmporten,Norway,365,POINT(17.42155 68.43795)
35c10ac30ad1ca52d7849032f6d539d2,2,2024-09-01,2025-08-31,365,286,5.957096651445968,85.78219178082192,Recharge,50.0,Strandgata 39 8656 MOSJØEN,Recharge Mosjøen,Norway,365,POINT(13.19077 65.83515)
9e7e7339ec36310e359323013c94b5da,4,2025-04-07,2025-08-31,147,133,5.922382842025699,85.28231292517007,Kople As,400.0,Skreda 49 8370 LEKNES,LAD OPP - Lofoten Basecamp,Norway,147,POINT(13.5116 68.15217)
c3c7884e79d441175ca80895408d802e,1,2024-09-01,2025-08-31,365,220,5.856164383561643,84.32876712328768,Kople As,300.0,Leira 2 8665 MOSJØEN,LAD OPP - Esso Mosjøen Halsøy,Norway,365,POINT(13.1958 65.86326)
4244ef78d62d6368ce54de6e274be224,4,2024-09-01,2025-08-31,365,334,5.830907534246576,83.96506849315068,Mer,50.0,Terminalveien 5 8208 FAUSKE,Fauske Handelspark,Norway,365,POINT(15.39716 67.26885)
929ea6fd58d0760ca11d12f482e09a4b,1,2024-09-01,2025-08-31,365,318,5.623477929984779,80.97808219178083,Eviny,100.0,Vesterålsgata 24 8400 SORTLAND,Rema 1000 Sortland,Norway,365,POINT(15.41346 68.70778)
77eb4a0d3b6a0f198ca76a87243c762c,1,2024-09-01,2025-08-31,365,224,5.620053272450533,80.92876712328767,Recharge,150.0,Caroline Harveys vei 8 8300 SVOLVÆR,Recharge Shell Svolvær,Norway,365,POINT(14.56585 68.23905)
798476b1e96bdeb03254c11f91cd07d4,5,2024-09-01,2025-08-31,365,302,5.59185692541857,80.5227397260274,Recharge,200.0,Caroline Harveys vei 8 8300 SVOLVÆR,Recharge Shell Svolvær,Norway,365,POINT(14.56585 68.23905)
376f11c79a0280da153fb9ea04946928,4,2024-09-01,2025-08-31,365,336,5.583428462709284,80.4013698630137,Mer,50.0,Troforsvegen 14 8682 TROFORS,Coop Prix Trofors,Norway,365,POINT(13.38759 65.53696)
6e7e28e598aedc6bf649dee9e980841f,3,2025-04-07,2025-08-31,147,145,5.579805996472663,80.34920634920636,Kople As,180.0,Straumøyveien 5 8056 SALTSTRAUMEN,PWR UP - Coop Saltstraumen,Norway,147,POINT(14.60221 67.22865)
db60c006cfdba2d1f0c47108da25f63e,2,2024-09-02,2025-08-26,359,317,5.309211544413493,76.45264623955431,Eviny,135.0,Falcksgate 9 8480 ANDENES,Andøy Taxi,Norway,359,POINT(16.11934 69.32075)
7a07202bbb65222fea62107aa058798f,2,2024-09-01,2025-08-31,365,338,5.307458143074582,76.42739726027398,Kople As,150.0,Skoledalsveien 4 8890 LEIRFJORD,LAD OPP - Leland,Norway,365,POINT(12.93375 66.06539)
619bcd43c2357423a3e7c6f3150d0e0a,2,2024-09-01,2025-08-31,365,274,5.276350837138508,75.97945205479452,Recharge,50.0,Hattfjelldalsvollen 1 8692 HATTFJELLDAL,Recharge Hattfjelldal,Norway,365,POINT(13.98966 65.59562)
1720a6b4711b70b2e4dc436aa0830393,4,2024-09-01,2025-08-31,365,337,5.269501522070015,75.88082191780822,Mer,150.0,Sjøgata 74 8200 FAUSKE,Amfi Fauske,Norway,365,POINT(15.39623 67.25832)
a9eaac9d6bd9131f3b2a63ba5243e81d,6,2025-04-07,2025-08-31,147,145,5.141565885613503,74.03854875283447,Kople As,180.0,Campingvegen 1 8657 MOSJØEN,LAD OPP - Mosjøen Camping - AC,Norway,147,POINT(13.22013 65.83445)
c73ce6f9c4708686ee6224cfe829de7a,4,2024-09-01,2025-08-31,365,340,4.847460045662101,69.80342465753425,Mer,150.0,Kvilut 24 8050 TVERLANDET,Extra Tverlandet,Norway,365,POINT(14.73643 67.30349)
7093d36ad48ccaa0de70ef796adc5454,2,2024-09-01,2025-08-10,344,155,4.840923772609818,69.70930232558139,Kople As,75.0,Svenskveien 1267 8610 MO I RANA,LAD OPP - Umbukta fjellstue - AC,Norway,344,POINT(14.58609 66.16407)
ec4b5d401dce2c415758e2725e8e1d71,5,2025-04-01,2025-08-31,153,130,4.7710602759622365,68.7032679738562,St1 Charge,400.0,Stormyrveien 1 8008 BODØ,St1 Lading Stormyra,Norway,153,POINT(14.42093 67.28084)
bbad494a592e105f2875e037b6de7352,2,2024-09-01,2025-08-31,365,310,4.765030441400305,68.61643835616438,Mer,50.0,Rugåshylla 3 8960 VELFJORD,Circle K Hommelstø,Norway,365,POINT(12.54726 65.40361)
13cd2079e0ff654586f470800499f875,4,2024-09-01,2025-08-31,365,341,4.722079528158296,67.99794520547945,Uno-X,300.0,Nyrudveien 1 8657 MOSJØEN,Uno-X Nyrud,Norway,365,POINT(13.21225 65.83403)
c2b5d88d5a90cb0eec02a491320e59a9,2,2024-09-02,2025-08-31,364,325,4.686259920634921,67.48214285714286,Kople As,180.0,Håndverkeren 14 8250 ROGNAN,ChargeUp - Dragefossen Rognan,Norway,364,POINT(15.3915 67.10341)
7a227ddffc2473e1010dfad94bd91675,4,2024-09-01,2025-08-31,365,298,4.585283485540334,66.02808219178083,Recharge,50.0,Storjord  8255 RØKLAND,Recharge Saltdal Turistsenter,Norway,365,POINT(15.40207 66.81399)
9ef82ea16d46ef75e32e9abe46a8f4b4,2,2024-09-01,2025-08-31,365,278,4.571442161339422,65.82876712328768,Kople As,150.0,Reine ytre havn 1 8390 REINE,Bodø Energi - Reine,Norway,365,POINT(13.09484 67.93444)
4dc6e58344e66c1988e2ab87fa071d3c,4,2025-04-10,2025-08-31,144,136,4.4077932098765435,63.47222222222222,Kople As,400.0,Herøyholmveien 26 8850 HERØY,LAD OPP - Herøy,Norway,144,POINT(12.28188 65.98054)
d8cb31d42cab8546a0f41eb8ef0a1cbf,2,2025-04-10,2025-08-31,144,139,4.314236111111111,62.125,Kople As,180.0,Søndre gt 30 8450 STOKMARKNES,PWR UP - Coop Extra Stokmarknes,Norway,144,POINT(14.91201 68.56089)
91c07d2b7a1cac0defe9a63e51270907,4,2024-09-01,2025-08-31,365,332,4.2839136225266365,61.68835616438356,Mer,50.0,Sentrumsveien 57 8540 BALLANGEN,Coop Extra Ballangen,Norway,365,POINT(16.83286 68.34252)
cae6dc1c62a7c6e04fbce1ec00b13eec,2,2024-09-01,2025-08-31,365,288,4.238394216133942,61.032876712328765,Kople As,75.0,Nygårdveien 159 8120 NYGÅRDSJØEN,LAD OPP - Nygårdsjøen - AC,Norway,365,POINT(14.32353 67.12154)
822ecada5a2c14bde21571c00b49e6fd,3,2025-04-07,2025-08-31,147,142,4.12540942302847,59.40589569160997,Kople As,300.0,Vesterålsgata 111 8403 SORTLAND,PWR UP - Coop Sortland,Norway,147,POINT(15.39946 68.68351)
acaf6854dcff693da1e754140bd3e020,8,2025-05-25,2025-08-31,99,81,4.076704545454546,58.70454545454545,Ionity,350.0,Sætlandshaugen  8028 BODØ,IONITY Bodø,Norway,99,POINT(14.56929 67.28481)
4538bd2c5c74618b76f439f92c187ece,3,2025-07-29,2025-08-25,28,15,4.054232804232804,58.38095238095239,Circle K,150.0,A. Kiellands gate 1 8663 MOSJØEN,Circle K Mosjøen,Norway,28,POINT(13.20098 65.84142)
3324b0cd0ee1403f8de33e3d932bce46,4,2024-09-01,2025-08-31,365,295,3.931031202435312,56.606849315068494,Recharge,50.0,Torolv Kveldulvsons gate 17 8800 SANDNESSJØEN,Recharge Sandnessjøen,Norway,365,POINT(12.63677 66.02312)
0714ad45029cd561d42d821d0b6021bf,2,2024-09-01,2025-08-31,365,323,3.8806126331811277,55.88082191780822,Kople As,200.0,Klakkjeveien 5 8920 SØMNA,PWR UP - Coop Berg,Norway,365,POINT(12.19671 65.36867)
ccee725d0028641a185994b7ee2064c0,4,2024-09-01,2025-08-31,365,307,3.8589707001522067,55.56917808219178,Recharge,50.0,,Recharge Innhavet,Norway,365,POINT(15.92953 67.96251)
d43dc3508961671399603327ba01de61,4,2024-09-01,2025-08-31,365,296,3.7765886605783874,54.382876712328766,Mer,50.0,Skogvoll  8275 STORJORD I TYSFJORD,Storjord Servicehandel,Norway,365,POINT(16.02965 68.19396)
cd8df4a55f55b19eacf1782569bbc0ad,2,2024-09-01,2025-08-31,365,245,3.772450532724505,54.323287671232876,Kople As,300.0,E6 Røklandsenteret  8255 RØKLAND,PWR UP - Røkland,Norway,365,POINT(15.31518 66.98087)
1829497bb8b1701701f07ae88a24b628,2,2024-09-02,2025-08-31,364,282,3.7402701465201464,53.85989010989011,Recharge,150.0,Ankenesveien 5 8520 ANKENES,St1 Ankenes,Norway,364,POINT(17.4173 68.40566)
c18ea35605b0b649ca188b37f14c7655,2,2025-04-07,2025-08-31,147,139,3.6404006046863193,52.42176870748299,Kople As,180.0,Nygårdveien 159 8120 NYGÅRDSJØEN,LAD OPP - Nygårdsjøen - AC,Norway,147,POINT(14.32353 67.12154)
a96bfcf189116bff986b6383b74b031b,2,2024-09-01,2025-08-31,365,306,3.6382229832572306,52.39041095890411,Eviny,350.0,Alstad 1 8370 LEKNES,Alstad Kro og Camping,Norway,365,POINT(13.93621 68.27229)
9f2d46f2144061316a2e45bc07183784,2,2024-09-01,2025-08-31,365,242,3.6019786910197866,51.868493150684934,Mer,50.0,Sjøgata 74 8200 FAUSKE,Amfi Fauske,Norway,365,POINT(15.39623 67.25832)
1bb53deee20ba263139c33f292cec50c,2,2024-09-01,2025-08-31,365,221,3.5631659056316587,51.30958904109589,Recharge,50.0,Bøveien 508 8470 BØ I VESTERÅLEN,Recharge Spar Bø i Vesterålen,Norway,365,POINT(14.44461 68.62103)
2a2318dd0d79b54254e8518d66c11f9b,1,2024-09-01,2025-08-31,365,274,3.5559360730593608,51.205479452054796,Recharge,150.0,Teglverkveien 1 8006 BODØ,Recharge Esso Rønvik,Norway,365,POINT(14.40705 67.29354)
f8162abc56c35b50b1208ed3979ad76e,4,2024-09-01,2025-08-31,365,310,3.5554604261796046,51.1986301369863,Mer,50.0,Fjellvegen 1 8685 TROFORS,Majavatn,Norway,365,POINT(13.36988 65.16748)
2b92d930e6e49e8d2a4df1cd9a2f5214,4,2024-09-01,2025-08-31,365,271,3.4263698630136985,49.33972602739726,Recharge,225.0,Gammelveien 9 8614 MO I RANA,Recharge Esso Ytteren,Norway,365,POINT(14.14288 66.34082)
57028db69a1e97120b34bb64f6860af2,1,2025-04-02,2025-08-30,151,102,3.402317880794702,48.99337748344371,St1 Charge,300.0,Stormyrveien 1 8008 BODØ,St1 Lading Stormyra,Norway,151,POINT(14.42093 67.28084)
c3c10eef0d447fa0ddf70a3a4d7a6af6,7,2024-09-01,2025-08-31,365,249,3.397124374864101,48.91859099804305,Kople As,400.0,Leira 2 8665 MOSJØEN,LAD OPP - Esso Mosjøen Halsøy,Norway,365,POINT(13.1958 65.86326)
e3c5fc50849142922e09fecc04723264,2,2024-09-01,2025-08-31,365,325,3.2556126331811264,46.88082191780822,Kople As,150.0,Storgata 62 8430 MYRE,PWR UP - Myre,Norway,365,POINT(15.10071 68.91513)
17692c617be947929e27b091ddcda7a6,4,2024-09-01,2025-08-31,365,305,3.1674277016742765,45.61095890410959,Recharge,225.0,Storsanddalen 1 8610 MO I RANA,Recharge Esso Grubhei,Norway,365,POINT(14.20314 66.32036)
c4279639e4eeb7bb748720d41deaefe8,2,2024-09-01,2025-08-31,365,222,3.143264840182648,45.26301369863014,Recharge,50.0,Sørgrenda 16 8250 ROGNAN,Recharge Røkland Senter,Norway,365,POINT(15.31508 66.98049)
220df1737c89a16b63db9e16f1623f9a,4,2024-12-13,2025-08-31,262,224,3.107638888888889,44.75,Mer,150.0,Hovøyveien 11 8900 BRØNNØYSUND,Brønnøysund lufthavn DC,Norway,262,POINT(12.2092 65.45994)
23c761dd9c49d89164a0d91da9ebf73c,6,2024-12-21,2025-08-31,254,238,3.1033100029163028,44.68766404199475,Kople As,180.0,Ankenesveien 2 8520 ANKENES,Kople Kiwi Ankenes,Norway,254,POINT(17.41476 68.4067)
9a076d6b7b114967c78576e070ce5a0c,1,2025-06-15,2025-08-31,78,61,3.1000712250712255,44.64102564102564,Ionity,400.0,Kulstadbakken 13 8665 MOSJØEN,IONITY Mosjøen,Norway,78,POINT(13.19557 65.86456)
37afdb9ab9c570b1ce77987083c083db,4,2024-09-01,2025-08-31,365,313,3.0657819634703194,44.147260273972606,Mer,50.0,STEIGENVEIEN 25 8260 INNHAVET,Tømmerneset,Norway,365,POINT(15.8567 67.9007)
9e391581f1773862b1647c8a1be5ba6b,1,2024-09-02,2025-08-31,364,211,2.99126221001221,43.074175824175825,St1 Charge,300.0,Naustgata 1 8665 MOSJØEN,St1 Lading Mosjøen,Norway,364,POINT(13.19574 65.86385)
