id,size_total,start_day,end_day,calendar_day_count,active_days_count,percentage_average,average_daily_minutes
254a0b4aa0060cc8f5580d9a7efce3f2,3,2024-09-01,2025-08-31,365,328,6.089358193810249,87.68675799086758
35c10ac30ad1ca52d7849032f6d539d2,2,2024-09-01,2025-08-31,365,286,5.957096651445968,85.78219178082192
9e7e7339ec36310e359323013c94b5da,4,2025-04-07,2025-08-31,147,133,5.922382842025699,85.28231292517007
c3c7884e79d441175ca80895408d802e,1,2024-09-01,2025-08-31,365,220,5.856164383561643,84.32876712328768
4244ef78d62d6368ce54de6e274be224,4,2024-09-01,2025-08-31,365,334,5.830907534246576,83.96506849315068
929ea6fd58d0760ca11d12f482e09a4b,1,2024-09-01,2025-08-31,365,318,5.623477929984779,80.97808219178083
77eb4a0d3b6a0f198ca76a87243c762c,1,2024-09-01,2025-08-31,365,224,5.620053272450533,80.92876712328767
798476b1e96bdeb03254c11f91cd07d4,5,2024-09-01,2025-08-31,365,302,5.59185692541857,80.5227397260274
376f11c79a0280da153fb9ea04946928,4,2024-09-01,2025-08-31,365,336,5.583428462709284,80.4013698630137
6e7e28e598aedc6bf649dee9e980841f,3,2025-04-07,2025-08-31,147,145,5.579805996472663,80.34920634920636
db60c006cfdba2d1f0c47108da25f63e,2,2024-09-02,2025-08-26,359,317,5.309211544413493,76.45264623955431
7a07202bbb65222fea62107aa058798f,2,2024-09-01,2025-08-31,365,338,5.307458143074582,76.42739726027398
619bcd43c2357423a3e7c6f3150d0e0a,2,2024-09-01,2025-08-31,365,274,5.276350837138508,75.97945205479452
1720a6b4711b70b2e4dc436aa0830393,4,2024-09-01,2025-08-31,365,337,5.269501522070015,75.88082191780822
a9eaac9d6bd9131f3b2a63ba5243e81d,6,2025-04-07,2025-08-31,147,145,5.141565885613503,74.03854875283447
c73ce6f9c4708686ee6224cfe829de7a,4,2024-09-01,2025-08-31,365,340,4.847460045662101,69.80342465753425
7093d36ad48ccaa0de70ef796adc5454,2,2024-09-01,2025-08-10,344,155,4.840923772609818,69.70930232558139
ec4b5d401dce2c415758e2725e8e1d71,5,2025-04-01,2025-08-31,153,130,4.7710602759622365,68.7032679738562
bbad494a592e105f2875e037b6de7352,2,2024-09-01,2025-08-31,365,310,4.765030441400305,68.61643835616438
13cd2079e0ff654586f470800499f875,4,2024-09-01,2025-08-31,365,341,4.722079528158296,67.99794520547945
c2b5d88d5a90cb0eec02a491320e59a9,2,2024-09-02,2025-08-31,364,325,4.686259920634921,67.48214285714286
7a227ddffc2473e1010dfad94bd91675,4,2024-09-01,2025-08-31,365,298,4.585283485540334,66.02808219178083
9ef82ea16d46ef75e32e9abe46a8f4b4,2,2024-09-01,2025-08-31,365,278,4.571442161339422,65.82876712328768
4dc6e58344e66c1988e2ab87fa071d3c,4,2025-04-10,2025-08-31,144,136,4.4077932098765435,63.47222222222222
d8cb31d42cab8546a0f41eb8ef0a1cbf,2,2025-04-10,2025-08-31,144,139,4.314236111111111,62.125
91c07d2b7a1cac0defe9a63e51270907,4,2024-09-01,2025-08-31,365,332,4.2839136225266365,61.68835616438356
cae6dc1c62a7c6e04fbce1ec00b13eec,2,2024-09-01,2025-08-31,365,288,4.238394216133942,61.032876712328765
822ecada5a2c14bde21571c00b49e6fd,3,2025-04-07,2025-08-31,147,142,4.12540942302847,59.40589569160997
acaf6854dcff693da1e754140bd3e020,8,2025-05-25,2025-08-31,99,81,4.076704545454546,58.70454545454545
4538bd2c5c74618b76f439f92c187ece,3,2025-07-29,2025-08-25,28,15,4.054232804232804,58.38095238095239
3324b0cd0ee1403f8de33e3d932bce46,4,2024-09-01,2025-08-31,365,295,3.931031202435312,56.606849315068494
0714ad45029cd561d42d821d0b6021bf,2,2024-09-01,2025-08-31,365,323,3.8806126331811277,55.88082191780822
ccee725d0028641a185994b7ee2064c0,4,2024-09-01,2025-08-31,365,307,3.8589707001522067,55.56917808219178
d43dc3508961671399603327ba01de61,4,2024-09-01,2025-08-31,365,296,3.7765886605783874,54.382876712328766
cd8df4a55f55b19eacf1782569bbc0ad,2,2024-09-01,2025-08-31,365,245,3.772450532724505,54.323287671232876
1829497bb8b1701701f07ae88a24b628,2,2024-09-02,2025-08-31,364,282,3.7402701465201464,53.85989010989011
c18ea35605b0b649ca188b37f14c7655,2,2025-04-07,2025-08-31,147,139,3.6404006046863193,52.42176870748299
a96bfcf189116bff986b6383b74b031b,2,2024-09-01,2025-08-31,365,306,3.6382229832572306,52.39041095890411
9f2d46f2144061316a2e45bc07183784,2,2024-09-01,2025-08-31,365,242,3.6019786910197866,51.868493150684934
1bb53deee20ba263139c33f292cec50c,2,2024-09-01,2025-08-31,365,221,3.5631659056316587,51.30958904109589
2a2318dd0d79b54254e8518d66c11f9b,1,2024-09-01,2025-08-31,365,274,3.5559360730593608,51.205479452054796
f8162abc56c35b50b1208ed3979ad76e,4,2024-09-01,2025-08-31,365,310,3.5554604261796046,51.1986301369863
2b92d930e6e49e8d2a4df1cd9a2f5214,4,2024-09-01,2025-08-31,365,271,3.4263698630136985,49.33972602739726
57028db69a1e97120b34bb64f6860af2,1,2025-04-02,2025-08-30,151,102,3.402317880794702,48.99337748344371
c3c10eef0d447fa0ddf70a3a4d7a6af6,7,2024-09-01,2025-08-31,365,249,3.397124374864101,48.91859099804305
e3c5fc50849142922e09fecc04723264,2,2024-09-01,2025-08-31,365,325,3.2556126331811264,46.88082191780822
17692c617be947929e27b091ddcda7a6,4,2024-09-01,2025-08-31,365,305,3.1674277016742765,45.61095890410959
