id,size_total,active_days_count,percentage_average,average_daily_minutes,capacity_kw,station_name,country_name,calendar_day_count,geometry,living_street_dist,primary_dist,residential_dist,secondary_dist,road_service_dist,tertiary_dist,trunk_dist,unclassified_dist,motorway_dist,road_count_living_street,primary_count,road_count_residential,secondary_count,road_service_count,tertiary_count,trunk_count,unclassified_count,motorway_count,operator,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,gas_stations_count,supermarket_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,gas_stations_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist,occupation_rate,population,total_time_spent,lng,lat,good_feature_score,score_performance,occupation_rank,Supermarket,Shopping,Services,Hotel,Restaurant,Leisure,poi_categories_present,poi_categories_present_str,nearest_major_road_dist,nearest_major_road_type
9b480c73cc2a5e9b705485e4c7a6697d,1,293,9.000570776255708,129.60821917808218,200.0,Recharge Esso Langneset,Norway,365,POINT (14.13423 66.3045),1000.0,1000.0,93.5,1000.0,8.27,110.44,62.84,54.28,1000.0,0.0,0.0,56.0,0.0,61.0,16.0,32.0,12.0,0.0,Recharge,2.0,4.0,0.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,6.0,0.0,4.0,20.0,4.0,0.0,376.6,148.23,1000.0,208.39,196.91,24.88,193.02,43.4,41.91,66.42,53.29,1000.0,348.63,43.4,200.33,1000.0,"(8.995, 13.493]",0.49,572.5,14.13423,66.3045,6.35,21,3.0,8.0,18.0,24.0,2.0,7.0,4.0,6,6/6,62.84,trunk
01716bdeedb37b1c6f03492ffb19b51f,4,343,8.618483637747337,124.10616438356163,300.0,LAD OPP - Kulturbadet Sandnessjøen,Norway,365,POINT (12.63804 66.0225),1000.0,102.12,45.78,1000.0,10.98,25.96,1000.0,272.36,1000.0,0.0,16.0,37.0,0.0,33.0,6.0,0.0,3.0,0.0,Kople As,2.0,9.0,0.0,12.0,4.0,2.0,1.0,1.0,5.0,6.0,4.0,3.0,12.0,20.0,2.0,1.0,63.49,120.54,1000.0,55.1,132.3,218.77,413.4,273.91,124.65,114.65,124.65,88.09,51.06,65.89,146.67,241.96,"(4.498, 8.995]",1.96,692.5,12.63804,66.0225,6.73,22,4.0,7.0,18.0,35.0,2.0,13.0,10.0,6,6/6,102.12,primary
166276db9f02968c6d62e4f9c46941c4,2,145,8.057445200302345,116.02721088435374,180.0,LAD OPP - Utskarpen - AC,Norway,147,POINT (13.55049 66.29599),1000.0,21.08,423.09,1000.0,4.51,1000.0,1000.0,1000.0,1000.0,0.0,4.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,Kople As,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1000.0,265.82,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,21.66,15.34,1000.0,1000.0,1000.0,6.59,1000.0,1000.0,"(4.498, 8.995]",0.49,150.0,13.55049,66.29599,3.27,23,4.0,1.0,1.0,1.0,0.0,0.0,1.0,4,4/6,21.08,primary
6fb93712030f4280008a7bdf911d5dc6,2,137,7.09136432350718,102.1156462585034,180.0,PWR UP - Coop Leinesfjord,Norway,147,POINT (15.01624 67.7752),1000.0,21.35,132.82,1000.0,6.09,1000.0,1000.0,35.15,1000.0,0.0,6.0,3.0,0.0,41.0,0.0,0.0,9.0,0.0,Kople As,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,75.15,114.28,1000.0,1000.0,104.95,1000.0,1000.0,1000.0,39.68,1000.0,1000.0,1000.0,71.92,45.18,1000.0,112.63,"(4.498, 8.995]",0.49,370.0,15.01624,67.7752,5.0,24,4.0,2.0,1.0,13.0,2.0,0.0,6.0,5,5/6,21.35,primary
1ec25f8ea9579cc00b41f0b5f6f21540,2,327,7.07246460449369,101.84349030470914,50.0,ChargeUp - Fylkeshuset i Bodø,Norway,361,POINT (14.37639 67.28044),1000.0,1000.0,23.82,1000.0,13.41,56.95,1000.0,1000.0,1000.0,0.0,0.0,132.0,0.0,74.0,26.0,0.0,0.0,0.0,Kople As,9.0,44.0,5.0,35.0,19.0,3.0,5.0,0.0,10.0,8.0,4.0,5.0,33.0,62.0,1.0,4.0,69.2,163.88,325.23,126.68,332.79,361.09,322.64,1000.0,103.98,341.86,437.22,366.7,0.0,30.65,466.51,304.72,"(4.498, 8.995]",0.49,752.5,14.37639,67.28044,5.96,25,4.0,11.0,35.0,105.0,9.0,40.0,48.0,6,6/6,1000.0,motorway
6fb8cddf267eb9f34272cb0463acec81,2,307,6.824581430745815,98.27397260273972,50.0,St1 Bjerkvik,Norway,365,POINT (17.55747 68.55121),1000.0,1000.0,23.14,192.14,13.98,1000.0,27.87,239.24,1000.0,0.0,0.0,37.0,5.0,29.0,0.0,18.0,3.0,0.0,Recharge,2.0,3.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,7.0,8.0,0.0,1.0,176.81,155.28,1000.0,133.2,156.94,1000.0,459.82,14.96,54.54,1000.0,60.02,1000.0,155.65,14.96,1000.0,334.78,"(4.498, 8.995]",0.49,482.5,17.55747,68.55121,6.15,26,4.0,2.0,3.0,15.0,2.0,6.0,4.0,6,6/6,27.87,trunk
c0d2b4650bf6ac24dd167a3717454ea0,2,308,6.700627853881279,96.4890410958904,50.0,St1 Fauske,Norway,365,POINT (15.3912 67.25931),1000.0,1000.0,68.66,1000.0,7.29,323.58,15.62,113.61,1000.0,0.0,0.0,99.0,0.0,86.0,6.0,51.0,8.0,0.0,Recharge,3.0,9.0,0.0,11.0,4.0,3.0,3.0,5.0,5.0,6.0,3.0,3.0,9.0,35.0,2.0,0.0,296.26,70.95,1000.0,77.74,173.63,158.92,132.68,27.01,138.87,88.73,77.95,198.99,53.75,27.01,209.11,1000.0,"(4.498, 8.995]",0.49,632.5,15.3912,67.25931,7.12,27,4.0,7.0,18.0,47.0,3.0,14.0,9.0,6,6/6,15.62,trunk
c311a27df7cf9bfa183c541427be43a1,2,144,6.383219954648526,91.91836734693878,180.0,LAD OPP - Halsa - AC,Norway,147,POINT (13.55166 66.74281),1000.0,33.45,43.98,1000.0,32.49,1000.0,1000.0,94.9,1000.0,0.0,6.0,14.0,0.0,35.0,0.0,0.0,4.0,0.0,Kople As,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1000.0,48.03,1000.0,56.94,1000.0,1000.0,1000.0,167.34,56.28,1000.0,1000.0,1000.0,1000.0,36.47,1000.0,303.83,"(4.498, 8.995]",0.49,247.5,13.55166,66.74281,3.65,28,4.0,1.0,0.0,5.0,0.0,2.0,3.0,4,4/6,33.45,primary
254a0b4aa0060cc8f5580d9a7efce3f2,3,328,6.089358193810249,87.68675799086758,50.0,Amfi Narvik Malmporten,Norway,365,POINT (17.42155 68.43795),1000.0,1000.0,159.22,1000.0,4.54,95.86,204.19,112.03,1000.0,0.0,0.0,85.0,0.0,102.0,49.0,25.0,10.0,0.0,Mer,4.0,28.0,3.0,22.0,11.0,4.0,4.0,0.0,9.0,13.0,12.0,4.0,29.0,55.0,1.0,2.0,214.2,60.84,97.28,98.88,57.68,103.93,55.7,1000.0,93.84,55.43,34.68,56.45,150.83,94.5,63.5,365.49,"(4.498, 8.995]",0.49,752.5,17.42155,68.43795,7.12,29,4.0,10.0,41.0,91.0,4.0,26.0,30.0,6,6/6,204.19,trunk
35c10ac30ad1ca52d7849032f6d539d2,2,286,5.957096651445968,85.78219178082192,50.0,Recharge Mosjøen,Norway,365,POINT (13.19077 65.83515),1000.0,416.75,34.32,1000.0,8.29,28.06,1000.0,481.6,1000.0,0.0,18.0,81.0,0.0,137.0,34.0,0.0,2.0,0.0,Recharge,3.0,13.0,2.0,13.0,10.0,2.0,1.0,3.0,3.0,13.0,1.0,3.0,7.0,41.0,1.0,0.0,60.7,139.1,288.41,51.94,179.92,291.45,410.28,370.17,370.5,268.35,254.34,179.88,124.09,140.43,292.24,1000.0,"(4.498, 8.995]",0.49,692.5,13.19077,65.83515,5.96,30,4.0,4.0,27.0,53.0,3.0,14.0,13.0,6,6/6,416.75,primary
